2023-11-13T00:40:52.451-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:52.455-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:52.500-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:53.141-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.141-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.367-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.487-03:00  INFO 17044 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-11-13T00:40:53.491-03:00  INFO 17044 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2023-11-13T00:40:53.493-03:00  INFO 17044 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2023-11-13T00:41:01.562-03:00  INFO 3312 --- [main] b.u.c.tapw.pilacoin.PilacoinApplication  : Starting PilacoinApplication using Java 21.0.1 with PID 3312 (C:\Topicos\Trabalho\pilacoin\build\classes\java\main started by augus in C:\Topicos\Trabalho\pilacoin)
2023-11-13T00:41:01.566-03:00  INFO 3312 --- [main] b.u.c.tapw.pilacoin.PilacoinApplication  : No active profile set, falling back to 1 default profile: "default"
2023-11-13T00:41:02.357-03:00  INFO 3312 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-13T00:41:02.387-03:00  INFO 3312 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 18 ms. Found 0 JPA repository interfaces.
2023-11-13T00:41:03.035-03:00  INFO 3312 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2023-11-13T00:41:03.047-03:00  INFO 3312 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-11-13T00:41:03.047-03:00  INFO 3312 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.15]
2023-11-13T00:41:03.155-03:00  INFO 3312 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
